:nominal
recnum, 1, 0, r
z1, 15, 1, z1, [1(11,90,95,21,22,23,24,31);5(42);2(81,82);3(71,52);4(41,43)]
n1, 15, 1, n1, [1(11,90,95,21,22,23,24,31);5(42);2(81,82);3(71,52);4(41,43)]
w1, 15, 1, w1, [1(11,90,95,21,22,23,24,31);5(42);2(81,82);3(71,52);4(41,43)]
e1, 15, 1, e1, [1(11,90,95,21,22,23,24,31);5(42);2(81,82);3(71,52);4(41,43)]
s1, 15, 1, s1, [1(11,90,95,21,22,23,24,31);5(42);2(81,82);3(71,52);4(41,43)]
z2, 15, 1, z2, [1(11,90,95,21,22,23,24,31);5(42);2(81,82);3(71,52);4(41,43)]
n2, 15, 1, n2, [1(11,90,95,21,22,23,24,31);5(42);2(81,82);3(71,52);4(41,43)]
w2, 15, 1, w2, [1(11,90,95,21,22,23,24,31);5(42);2(81,82);3(71,52);4(41,43)]
e2, 15, 1, e2, [1(11,90,95,21,22,23,24,31);5(42);2(81,82);3(71,52);4(41,43)]
s2, 15, 1, s2, [1(11,90,95,21,22,23,24,31);5(42);2(81,82);3(71,52);4(41,43)]
z3, 15, 0, z3, [1(11,90,95,21,22,23,24,31);5(42);2(81,82);3(71,52);4(41,43)]
n3, 15, 0, n3, [1(11,90,95,21,22,23,24,31);5(42);2(81,82);3(71,52);4(41,43)]
w3, 15, 0, w3, [1(11,90,95,21,22,23,24,31);5(42);2(81,82);3(71,52);4(41,43)]
e3, 15, 0, e3, [1(11,90,95,21,22,23,24,31);5(42);2(81,82);3(71,52);4(41,43)]
s3, 15, 0, s3, [1(11,90,95,21,22,23,24,31);5(42);2(81,82);3(71,52);4(41,43)]
F, 2, 2, F                                     

:data
4592496	42	42	42	42	21	42	42	42	42	21	42	42	42	42	21	1
7050664	42	42	42	42	42	52	52	52	42	52	52	52	52	42	52	0
15795882	71	71	71	71	71	52	52	52	52	52	42	42	42	42	42	1
15917820	71	71	42	71	71	42	42	52	52	52	42	42	42	42	42	1
9825198	52	52	52	52	52	52	52	52	52	52	42	42	42	42	43	1
16187366	42	42	42	42	71	42	42	42	42	52	52	71	52	52	52	0
13456344	42	42	42	81	81	71	71	71	71	81	71	71	71	71	81	0
20325726	42	42	42	42	42	42	42	42	42	42	52	52	52	52	52	0
15696482	81	81	81	42	81	52	41	52	52	52	42	41	41	41	42	1
8962170	42	42	42	90	90	42	90	42	42	90	42	90	42	42	90	1
18307380	52	52	52	52	52	52	52	52	52	52	42	42	43	43	42	1
20975720	42	42	42	52	52	42	42	42	42	42	42	42	42	42	42	1
8648683	21	21	21	21	42	21	52	21	21	42	21	52	21	21	42	0
21829834	42	42	42	42	42	52	42	52	52	52	42	42	42	42	42	1
2027980	42	42	42	71	71	42	42	42	42	52	71	71	71	71	52	0
9761623	42	42	42	43	42	42	42	42	43	42	42	42	42	43	42	1
15493952	42	42	42	42	42	42	52	52	42	52	42	42	42	42	42	1
4542930	42	42	42	42	42	71	71	71	71	71	52	52	52	52	52	0
6964034	42	42	42	42	42	42	42	42	42	42	52	52	52	52	52	0
988465	42	42	90	42	42	90	90	90	42	90	90	90	90	42	90	0
16012910	42	42	42	42	42	71	71	71	71	71	52	52	52	52	52	0
16079434	42	42	42	42	42	71	71	71	71	71	42	42	42	42	42	1
4613147	42	42	42	42	42	71	42	42	71	71	52	42	42	52	52	0
9772094	52	52	52	52	52	52	52	52	52	52	43	42	42	42	43	0
693869	43	81	43	43	42	43	81	43	43	42	43	81	43	43	42	0
2021765	42	42	42	42	42	52	52	52	52	52	52	52	52	52	52	0
4091726	42	71	71	42	42	71	71	71	42	71	71	71	71	42	71	0
14245510	71	71	71	71	71	52	52	52	52	52	42	42	42	42	42	1
13550096	42	42	42	43	52	42	42	42	42	42	42	42	42	42	42	1
22007861	42	42	42	42	42	42	42	42	42	42	71	71	71	71	71	0
14533009	21	42	21	42	21	21	42	21	42	21	21	42	21	42	21	0
4621679	42	42	42	42	42	71	71	71	71	71	52	52	52	52	52	0
