Option settings:
Data file	dementia05.txt
Starting model	bottom
Search direction	up
Ref model	bottom
Models to consider	full
Search width	3
Search levels	7
Search sort by	bic
Search preference	descending
Report sort by	information
Report preference	descending

Sample Size	424.0

ID	MODEL	Level	H	dDF	dLR	Alpha	Inf	%dH(DV)	dAIC	dBIC	Inc.Alpha	Prog.	%C(Data)	%cover
322	IV:BZ:GZ:PZ	3	9.7131	8	-1.0	0.4395	0.01352802	1.3528	1.0	1.0	0.0	0	0.0	0.0
321	IV:EZ:GZ:PZ	3	9.7129	7	-1.0	0.3262	0.0137436	1.3744	1.0	1.0	0.0	0	0.0	0.0
320	IV:BZ:FZ	2	9.7127	5	-1.0	0.1463	0.01390428	1.3904	1.0	1.0	0.0	0	0.0	0.0
319	IV:EZ:HZ:MZ:PZ	4	9.7127	9	-1.0	0.5186	0.01390632	1.3906	1.0	1.0	0.0	0	0.0	0.0
318	IV:AgZ:PZ	2	9.7127	5	-1.0	0.1454	0.01393416	1.3934	1.0	1.0	0.0	0	0.0	0.0
317	IV:SxZ:AZ:GZ:PZ	4	9.7123	8	-1.0	0.3955	0.01430791	1.4308	1.0	1.0	0.0	0	0.0	0.0
316	IV:AZ:FZ:GZ:PZ	4	9.712	9	-1.0	0.4775	0.01461479	1.4615	1.0	1.0	0.0	0	0.0	0.0
315	IV:SxZ:EZ:PZ	3	9.7118	6	-1.0	0.1908	0.01480094	1.4801	1.0	1.0	0.0	0	0.0	0.0
314	IV:EZ:FZ	2	9.7118	4	-1.0	0.0683	0.01481771	1.4818	1.0	1.0	0.0	0	0.0	0.0
313	IV:AZ:GZ:HZ:PZ	4	9.7117	9	-1.0	0.4592	0.01493809	1.4938	1.0	1.0	0.0	0	0.0	0.0
312	IV:AgZ:FZ	2	9.7112	4	-1.0	0.0594	0.01540464	1.5405	1.0	1.0	0.0	0	0.0	0.0
311	IV:EZ:GZ:MZ:PZ	4	9.7112	9	-1.0	0.4301	0.01546844	1.5468	1.0	1.0	0.0	0	0.0	0.0
310	IV:JZ	1	9.7111	3	-1.0	0.0276	0.01551085	1.5511	1.0	1.0	0.0	0	0.0	0.0
309	IV:AZ:NZ	2	9.7111	5	-1.0	0.1032	0.01554408	1.5544	1.0	1.0	0.0	0	0.0	0.0
308	IV:GZ:LZ:PZ	3	9.7111	7	-1.0	0.2421	0.01556409	1.5564	1.0	1.0	0.0	0	0.0	0.0
307	IV:SxZ:EZ:HZ:PZ	4	9.7104	8	-1.0	0.3003	0.01620503	1.6205	1.0	1.0	0.0	0	0.0	0.0
306	IV:AgZ:GZ:PZ	3	9.7103	7	-1.0	0.2123	0.01632911	1.6329	1.0	1.0	0.0	0	0.0	0.0
305	IV:EHZ:PZ	4	9.7101	11	-1.0	0.5593	0.01650751	1.6508	1.0	1.0	0.0	0	0.0	0.0
304	IV:JZ:PZ	2	9.7099	6	-1.0	0.1319	0.01671008	1.671	1.0	1.0	0.0	0	0.0	0.0
303	IV:DZ:NZ	2	9.7099	5	-1.0	0.079	0.01677405	1.6774	1.0	1.0	0.0	0	0.0	0.0
302	IV:EZ:NZ	2	9.7096	5	-1.0	0.0746	0.01702924	1.7029	1.0	1.0	0.0	0	0.0	0.0
301	IV:EZ:GZ:HZ:PZ	4	9.7094	9	-1.0	0.3381	0.01729019	1.729	1.0	1.0	0.0	0	0.0	0.0
300	IV:EZ:FZ:PZ	3	9.709	7	-1.0	0.1686	0.01763138	1.7631	1.0	1.0	0.0	0	0.0	0.0
299	IV:BZ:NZ	2	9.7088	6	-1.0	0.1055	0.0178319	1.7832	1.0	1.0	0.0	0	0.0	0.0
298	IV:EPZ	3	9.7087	11	-1.0	0.4854	0.01790671	1.7907	1.0	1.0	0.0	0	0.0	0.0
297	IV:AZ:EZ:PZ	3	9.7087	7	-1.0	0.159	0.01795529	1.7955	1.0	1.0	0.0	0	0.0	0.0
296	IV:SxZ:EZ:GZ:PZ	4	9.7083	8	-1.0	0.2127	0.01838933	1.8389	1.0	1.0	0.0	0	0.0	0.0
295	IV:EZ:GZ:HZ:MZ:PZ	5	9.7081	11	-1.0	0.4508	0.01859047	1.859	1.0	1.0	0.0	0	0.0	0.0
294	IV:BZ:EZ:PZ	3	9.7079	8	-1.0	0.201	0.01873164	1.8732	1.0	1.0	0.0	0	0.0	0.0
293	IV:LZ:NZ	2	9.7079	5	-1.0	0.0508	0.01875146	1.8751	1.0	1.0	0.0	0	0.0	0.0
292	IV:AZ:BZ:GZ:PZ	4	9.7077	10	-1.0	0.3461	0.01898187	1.8982	1.0	1.0	0.0	0	0.0	0.0
291	IV:EZ:FZ:HZ:PZ	4	9.7074	9	-1.0	0.2561	0.01921839	1.9218	1.0	1.0	0.0	0	0.0	0.0
290	IV:FZ:JZ	2	9.7074	5	-1.0	0.0453	0.01925984	1.926	1.0	1.0	0.0	0	0.0	0.0
289	IV:DZ:EZ:PZ	3	9.7073	7	-1.0	0.1241	0.01930034	1.93	1.0	1.0	0.0	0	0.0	0.0
288	IV:EZ:NZ:PZ	3	9.7073	8	-1.0	0.1828	0.01930148	1.9301	1.0	1.0	0.0	0	0.0	0.0
287	IV:AZ:DZ:GZ:PZ	4	9.7073	9	-1.0	0.2503	0.01937287	1.9373	1.0	1.0	0.0	0	0.0	0.0
286	IV:AZ:GZ:NZ:PZ	4	9.7072	10	-1.0	0.3259	0.01944044	1.944	1.0	1.0	0.0	0	0.0	0.0
285	IV:AZ:EZ:HZ:PZ	4	9.7072	9	-1.0	0.2459	0.01949003	1.949	1.0	1.0	0.0	0	0.0	0.0
284	IV:BZ:EZ:HZ:PZ	4	9.7068	10	-1.0	0.3102	0.01980708	1.9807	1.0	1.0	0.0	0	0.0	0.0
283	IV:EPZ:HZ	4	9.7065	13	-1.0	0.5416	0.02016498	2.0165	1.0	1.0	0.0	0	0.0	0.0
282	IV:GZ:JZ:PZ	3	9.7064	8	-1.0	0.1547	0.02027983	2.028	1.0	1.0	0.0	0	0.0	0.0
281	IV:EZ:FZ:GZ:PZ	4	9.7063	9	-1.0	0.2166	0.02031725	2.0317	1.0	1.0	0.0	0	0.0	0.0
280	IV:EPZ:GZ	4	9.7063	13	-1.0	0.5331	0.02033984	2.034	1.0	1.0	0.0	0	0.0	0.0
279	IV:APZ:GZ	4	9.7062	13	-1.0	0.5287	0.02043163	2.0432	1.0	1.0	0.0	0	0.0	0.0
278	IV:AZ:EZ:GZ:PZ	4	9.7061	9	-1.0	0.2087	0.02055722	2.0557	1.0	1.0	0.0	0	0.0	0.0
277	IV:AgZ:NZ	2	9.7061	5	-1.0	0.0336	0.02056927	2.0569	1.0	1.0	0.0	0	0.0	0.0
276	IV:DZ:EZ:HZ:PZ	4	9.706	9	-1.0	0.2061	0.02063717	2.0637	1.0	1.0	0.0	0	0.0	0.0
275	IV:EZ:HZ:NZ:PZ	4	9.7059	10	-1.0	0.2719	0.02076536	2.0765	1.0	1.0	0.0	0	0.0	0.0
274	IV:AZ:EZ:HZ:MZ:PZ	5	9.7053	11	-1.0	0.3263	0.0213048	2.1305	1.0	1.0	0.0	0	0.0	0.0
273	IV:BZ:EZ:GZ:PZ	4	9.7053	10	-1.0	0.2517	0.02130961	2.131	1.0	1.0	0.0	0	0.0	0.0
272	IV:EZ:LZ:PZ	3	9.7052	7	-1.0	0.0825	0.02143109	2.1431	1.0	1.0	0.0	0	0.0	0.0
271	IV:EHZ:GZ:PZ	5	9.7052	13	-1.0	0.481	0.02143216	2.1432	1.0	1.0	0.0	0	0.0	0.0
270	IV:AgZ:AZ:GZ:PZ	4	9.7051	9	-1.0	0.1791	0.02152213	2.1522	1.0	1.0	0.0	0	0.0	0.0
269	IV:AgZ:MZ:NZ	3	9.7049	7	-1.0	0.0771	0.02177516	2.1775	1.0	1.0	0.0	0	0.0	0.0
268	IV:DZ:EZ:GZ:PZ	4	9.7048	9	-1.0	0.171	0.02180873	2.1809	1.0	1.0	0.0	0	0.0	0.0
267	IV:AgZ:NZ:PZ	3	9.7048	8	-1.0	0.1167	0.02187966	2.188	1.0	1.0	0.0	0	0.0	0.0
266	IV:AgZ:HZ:NZ	3	9.7047	7	-1.0	0.074	0.02198358	2.1984	1.0	1.0	0.0	0	0.0	0.0
265	IV:SxZ:EZ:GZ:HZ:PZ	5	9.7046	10	-1.0	0.2246	0.02209533	2.2095	1.0	1.0	0.0	0	0.0	0.0
264	IV:AZ:GZ:LZ:PZ	4	9.7044	9	-1.0	0.1591	0.02225082	2.2251	1.0	1.0	0.0	0	0.0	0.0
263	IV:EZ:GZ:NZ:PZ	4	9.7042	10	-1.0	0.2122	0.02247698	2.2477	1.0	1.0	0.0	0	0.0	0.0
262	IV:EZ:HZ:LZ:PZ	4	9.7042	9	-1.0	0.1532	0.02247801	2.2478	1.0	1.0	0.0	0	0.0	0.0
261	IV:AGZ:PZ	4	9.7042	11	-1.0	0.2799	0.02248339	2.2483	1.0	1.0	0.0	0	0.0	0.0
260	IV:EGZ:PZ	4	9.704	11	-1.0	0.2729	0.02267398	2.2674	1.0	1.0	0.0	0	0.0	0.0
259	IV:AgZ:EZ:PZ	3	9.7039	7	-1.0	0.0633	0.02276904	2.2769	1.0	1.0	0.0	0	0.0	0.0
258	IV:EZ:HPZ	4	9.7038	13	-1.0	0.4156	0.02286612	2.2866	1.0	1.0	0.0	0	0.0	0.0
257	IV:EZ:JZ:PZ	3	9.7036	8	-1.0	0.0946	0.02303435	2.3034	1.0	1.0	0.0	0	0.0	0.0
256	IV:JZ:NZ	2	9.7035	6	-1.0	0.0346	0.02313374	2.3134	1.0	1.0	0.0	0	0.0	0.0
255	IV:AgZ:GZ:NZ	3	9.7035	7	-1.0	0.0583	0.02317844	2.3178	1.0	1.0	0.0	0	0.0	0.0
254	IV:SxZ:AZ:EZ:HZ:PZ	5	9.7034	10	-1.0	0.1901	0.02320628	2.3206	1.0	1.0	0.0	0	0.0	0.0
253	IV:SxZ:AgZ:NZ	3	9.7031	6	-1.0	0.0318	0.02351909	2.3519	1.0	1.0	0.0	0	0.0	0.0
252	IV:AZ:EHZ:PZ	5	9.7031	13	-1.0	0.3874	0.02352051	2.3521	1.0	1.0	0.0	0	0.0	0.0
251	IV:EZ:HZ:JZ:PZ	4	9.703	10	-1.0	0.1786	0.02361615	2.3616	1.0	1.0	0.0	0	0.0	0.0
250	IV:EZ:FZ:GZ:HZ:PZ	5	9.7028	11	-1.0	0.2322	0.02385258	2.3853	1.0	1.0	0.0	0	0.0	0.0
249	IV:AgZ:EZ:HZ:PZ	4	9.7026	9	-1.0	0.1171	0.02407513	2.4075	1.0	1.0	0.0	0	0.0	0.0
248	IV:BZ:EZ:GZ:HZ:PZ	5	9.7026	12	-1.0	0.2915	0.02408113	2.4081	1.0	1.0	0.0	0	0.0	0.0
247	IV:AHZ:EZ:PZ	5	9.7025	13	-1.0	0.3597	0.0241874	2.4187	1.0	1.0	0.0	0	0.0	0.0
246	IV:AZ:EZ:GZ:HZ:PZ	5	9.7024	11	-1.0	0.2208	0.0242096	2.421	1.0	1.0	0.0	0	0.0	0.0
245	IV:AgZ:FZ:NZ	3	9.7021	7	-1.0	0.0444	0.02452069	2.4521	1.0	1.0	0.0	0	0.0	0.0
244	IV:EZ:GZ:LZ:PZ	4	9.7021	9	-1.0	0.1076	0.02456714	2.4567	1.0	1.0	0.0	0	0.0	0.0
243	IV:DZ:EZ:GZ:HZ:PZ	5	9.7015	11	-1.0	0.1939	0.02511479	2.5115	1.0	1.0	0.0	0	0.0	0.0
242	IV:GPZ	3	9.7015	11	-1.0	0.1917	0.02519017	2.519	1.0	1.0	0.0	0	0.0	0.0
241	IV:EPZ:GZ:HZ	5	9.7013	15	-1.0	0.4621	0.025305	2.5305	1.0	1.0	0.0	0	0.0	0.0
240	IV:AgZ:EZ:GZ:PZ	4	9.7012	9	-1.0	0.0929	0.02540681	2.5407	1.0	1.0	0.0	0	0.0	0.0
239	IV:EZ:GHZ:PZ	5	9.7012	13	-1.0	0.3119	0.02541528	2.5415	1.0	1.0	0.0	0	0.0	0.0
238	IV:AZ:GZ:JZ:PZ	4	9.7012	10	-1.0	0.1327	0.02549305	2.5493	1.0	1.0	0.0	0	0.0	0.0
237	IV:KZ	1	9.701	3	-1.0	0.0018	0.0256958	2.5696	1.0	1.0	0.0	0	0.0	0.0
236	IV:EGZ:HZ:PZ	5	9.7009	13	-1.0	0.3002	0.02573325	2.5733	1.0	1.0	0.0	0	0.0	0.0
235	IV:EZ:GZ:HZ:NZ:PZ	5	9.7009	12	-1.0	0.2348	0.02573982	2.574	1.0	1.0	0.0	0	0.0	0.0
234	IV:EdZ	1	9.7009	2	-1.0	0.0005	0.02578359	2.5784	1.0	1.0	0.0	0	0.0	0.0
