iv_states,predicted_dv,confidence,frequency,accuracy,p_margin,source_model
"El=5|Ro=1|Tp=3|Tt=3",0,86.38,303,93.1,0.0000,"IV:ElZ:TpZ:RoZ:TtZ"
"El=5|Tp=3|Tt=3",0,86.34,303,93.1,0.0000,"IV:ElZ:TpZ:TtZ"
"El=5|Gd=2|Ro=1|Tp=3|Tt=3",0,86.58,302,93.0,0.0000,"IV:ElZ:GdZ:TpZ:RoZ:TtZ"
"Cl=1|El=5|Ro=1|Tp=3|Tt=3",0,86.14,300,93.0,0.0000,"IV:ElZ:ClZ:TpZ:RoZ:TtZ"
"Dc=7|El=5|Tp=3|Tt=3",0,85.52,262,92.0,0.0000,"IV:ElZ:DcZ:TpZ:TtZ"
"Dc=7|El=5|Ro=1|Tp=3|Tt=3",0,85.58,262,92.0,0.0000,"IV:ElZ:DcZ:TpZ:RoZ:TtZ"
"El=5|Rd=1|Ro=1|Tp=3|Tt=3",0,86.38,214,93.5,0.0000,"IV:ElZ:RdZ:TpZ:RoZ:TtZ"
"El=5|Rd=1|Tp=3|Tt=3",0,86.42,214,93.5,0.0000,"IV:ElZ:RdZ:TpZ:TtZ"
"El=5|Ro=6|Tt=11",0,93.60,199,93.0,0.0000,"IV:ElZ:RoZ:TtZ"
"Cl=1|El=5|Tt=11",0,92.94,189,91.5,0.0000,"IV:ElZ:ClZ:TtZ"
"Dc=7|El=5|Rd=1|Ro=1|Tp=3|Tt=3",0,85.59,186,92.5,0.0000,"IV:ElZ:RdZ:DcZ:TpZ:RoZ:TtZ"
"El=5|Ro=6|Tt=7",0,85.41,127,92.1,0.0000,"IV:ElZ:RoZ:TtZ"
"Dc=7|El=5|Tp=7|Tt=11",0,90.93,124,91.9,0.0000,"IV:ElZ:DcZ:TpZ:TtZ"
"El=5|Tp=7|Tt=11",0,91.29,124,91.9,0.0000,"IV:ElZ:TpZ:TtZ"
"Cl=1|El=5|Tt=7",0,85.22,117,91.5,0.0000,"IV:ElZ:ClZ:TtZ"
"Cl=1|El=5|Ro=6|Tt=7",0,85.26,117,91.5,0.0000,"IV:ElZ:ClZ:RoZ:TtZ"
"El=1|Tp=3|Tt=15",1,91.32,114,95.6,0.0000,"IV:ElZ:TpZ:TtZ"
"El=1|Ro=6|Tt=15",1,91.75,111,95.5,0.0000,"IV:ElZ:RoZ:TtZ"
"Cl=1|El=1|Tt=15",1,91.55,109,96.3,0.0000,"IV:ElZ:ClZ:TtZ"
"Dc=7|El=1|Tp=3|Tt=15",1,91.51,108,97.2,0.0000,"IV:ElZ:DcZ:TpZ:TtZ"
"Dc=7|El=4|Rd=1|Ro=6|Tp=4|Tt=11",0,88.31,106,91.5,0.0000,"IV:ElZ:RdZ:DcZ:TpZ:RoZ:TtZ"
"El=4|Rd=1|Ro=6|Tp=4|Tt=11",0,87.30,106,91.5,0.0000,"IV:ElZ:RdZ:TpZ:RoZ:TtZ"
"El=4|Rd=1|Tp=4|Tt=11",0,87.19,106,91.5,0.0000,"IV:ElZ:RdZ:TpZ:TtZ"
"El=5|Rd=1|Tp=7|Tt=11",0,91.34,98,92.9,0.0000,"IV:ElZ:RdZ:TpZ:TtZ"
"El=1|Ro=6|Tp=3",1,90.23,96,92.7,0.0000,"IV:ElZ:TpZ:RoZ"
