iv_states,predicted_dv,confidence,frequency,accuracy,p_margin,source_model
"Dc=7|El=5|Fd=1|Rd=1|Ro=6|Tt=11",0,95.88,66,98.5,0.0000,"IV:ElZ:FdZ:RdZ:DcZ:RoZ:TtZ"
"Dc=7|El=5|Fd=1|Ro=1|Tt=3",0,89.58,66,98.5,0.0000,"IV:ElZ:FdZ:DcZ:RoZ:TtZ"
"Dc=7|El=5|Fd=1|Rd=1|Ro=1|Tt=3",0,89.46,61,98.4,0.0000,"IV:ElZ:FdZ:RdZ:DcZ:RoZ:TtZ"
"El=5|Fd=6|Ro=6|Tt=11",0,92.09,60,91.7,0.0000,"IV:ElZ:FdZ:RoZ:TtZ"
"El=1|Rd=1|Ro=6|Tt=15",1,91.73,57,94.7,0.0000,"IV:ElZ:RdZ:RoZ:TtZ"
"El=5|Ro=6|Tp=10|Tt=11",0,90.82,56,91.1,0.0000,"IV:ElZ:TpZ:RoZ:TtZ"
"El=5|Fd=5|Ro=1|Tp=15|Tt=3",0,86.27,54,94.4,0.0000,"IV:ElZ:FdZ:TpZ:RoZ:TtZ"
"El=5|Ro=6|Tp=15|Tt=7",0,90.39,54,98.1,0.0000,"IV:ElZ:TpZ:RoZ:TtZ"
"El=5|Tp=15|Tt=7",0,90.43,54,98.1,0.0000,"IV:ElZ:TpZ:TtZ"
"El=1|Rd=2|Ro=6|Tt=15",1,91.71,54,96.3,0.0000,"IV:ElZ:RdZ:RoZ:TtZ"
"Dc=7|El=5|Fd=6|Ro=6|Tt=11",0,91.75,53,90.6,0.0000,"IV:ElZ:FdZ:DcZ:RoZ:TtZ"
"Cl=3|Dc=7|El=1|Ro=6|Tt=11",1,87.58,52,90.4,0.0000,"IV:ElZ:ClZ:DcZ:RoZ:TtZ"
"El=5|Ro=1|Tp=5",0,89.88,52,94.2,0.0000,"IV:ElZ:TpZ:RoZ"
"Cl=1|Dc=7|El=5|Rd=2|Ro=6|Tt=15",0,87.12,50,96.0,0.0000,"IV:ElZ:RdZ:ClZ:DcZ:RoZ:TtZ"
"El=5|Tp=5|Tt=3",0,86.19,50,94.0,0.0000,"IV:ElZ:TpZ:TtZ"
"Cl=1|El=5|Rd=2|Ro=6|Tt=15",0,87.49,50,96.0,0.0000,"IV:ElZ:RdZ:ClZ:RoZ:TtZ"
"El=5|Rd=2|Ro=6|Tt=15",0,87.62,50,96.0,0.0000,"IV:ElZ:RdZ:RoZ:TtZ"
"El=1|Ro=4|Tt=15",1,94.35,49,98.0,0.0000,"IV:ElZ:RoZ:TtZ"
"El=5|Fd=1|Ro=6|Tp=12|Tt=11",0,98.09,46,97.8,0.0000,"IV:ElZ:FdZ:TpZ:RoZ:TtZ"
"Cl=2|Dc=7|El=5|Fd=1|Ro=6|Tt=11",0,97.90,46,97.8,0.0000,"IV:ElZ:FdZ:ClZ:DcZ:RoZ:TtZ"
"Cl=2|El=5|Fd=1|Ro=6|Tt=11",0,97.94,46,97.8,0.0000,"IV:ElZ:FdZ:ClZ:RoZ:TtZ"
"Dc=7|El=1|Ro=4|Tt=15",1,94.48,46,97.8,0.0000,"IV:ElZ:DcZ:RoZ:TtZ"
"Dc=7|El=2|Fd=5|Ro=6|Tt=15",1,85.87,45,95.6,0.0000,"IV:ElZ:FdZ:DcZ:RoZ:TtZ"
"El=2|Fd=5|Ro=6|Tt=15",1,86.01,45,95.6,0.0000,"IV:ElZ:FdZ:RoZ:TtZ"
"Cl=1|El=1|Rd=1|Ro=6|Tt=15",1,90.63,44,93.2,0.0000,"IV:ElZ:RdZ:ClZ:RoZ:TtZ"
"Cl=2|Dc=7|El=5|Fd=1|Rd=1|Ro=6|Tt=11",0,97.88,43,97.7,0.0000,"IV:ElZ:FdZ:RdZ:ClZ:DcZ:RoZ:TtZ"
"Cl=1|Dc=7|El=1|Rd=1|Ro=6|Tt=15",1,90.99,43,95.3,0.0000,"IV:ElZ:RdZ:ClZ:DcZ:RoZ:TtZ"
"Dc=7|El=2|Fd=3|Rd=1|Ro=4|Tt=15",1,89.77,43,90.7,0.0000,"IV:ElZ:FdZ:RdZ:DcZ:RoZ:TtZ"
"Cl=2|El=5|Fd=1|Rd=1|Ro=6|Tt=11",0,97.92,43,97.7,0.0000,"IV:ElZ:FdZ:RdZ:ClZ:RoZ:TtZ"
"El=2|Fd=5|Ro=6|Tp=15|Tt=15",1,85.22,41,95.1,0.0000,"IV:ElZ:FdZ:TpZ:RoZ:TtZ"
"El=5|Fd=2|Ro=1|Tp=15|Tt=3",0,88.44,41,92.7,0.0000,"IV:ElZ:FdZ:TpZ:RoZ:TtZ"
"El=5|Fd=4|Ro=6|Tp=15|Tt=15",0,86.06,41,90.2,0.0000,"IV:ElZ:FdZ:TpZ:RoZ:TtZ"
"Cl=1|Dc=7|El=1|Rd=2|Ro=6|Tt=15",1,90.99,41,97.6,0.0000,"IV:ElZ:RdZ:ClZ:DcZ:RoZ:TtZ"
"Cl=1|El=1|Rd=2|Ro=6|Tt=15",1,90.56,41,97.6,0.0000,"IV:ElZ:RdZ:ClZ:RoZ:TtZ"
"El=2|Fd=3|Ro=4|Tp=15|Tt=15",1,87.20,40,90.0,0.0000,"IV:ElZ:FdZ:TpZ:RoZ:TtZ"
"Cl=1|Dc=7|El=2|Fd=3|Ro=4|Tt=15",1,88.74,40,90.0,0.0000,"IV:ElZ:FdZ:ClZ:DcZ:RoZ:TtZ"
"Cl=3|El=1|Tt=15",1,93.09,40,90.0,0.0000,"IV:ElZ:ClZ:TtZ"
"Cl=1|El=2|Fd=3|Ro=4|Tt=15",1,88.75,40,90.0,0.0000,"IV:ElZ:FdZ:ClZ:RoZ:TtZ"
