iv_states,predicted_dv,confidence,frequency,accuracy,p_margin,source_model
"El=2|Lc=9|Tb=35",1,85.28,137,90.5,0.0000,"IV:ElZ:LcZ:TbZ"
"El=1|Lc=9|Tb=35",1,90.99,123,93.5,0.0000,"IV:ElZ:LcZ:TbZ"
"Tb=11|Tt=1",1,95.11,122,90.2,0.0000,"IV:TbZ:TtZ"
"El=1|Sl=2|Tb=9|Tt=1",1,90.49,104,92.3,0.0000,"IV:ElTtZ:SlZ:TbZ"
"El=1|Lc=8|Tb=11",1,87.24,103,90.3,0.0000,"IV:ElZ:LcZ:TbZ"
"El=1|Sl=2|Tb=9|To=5|Tt=1",1,87.81,102,93.1,0.0000,"IV:ElZ:SlZ:ToZ:TbZ:TtZ"
"Cl=4|El=1|Sl=2|Tb=9|Tt=1",1,90.21,76,94.7,0.0000,"IV:ElTtZ:SlZ:ClZ:TbZ"
"Cl=4|El=1|Ro=3|Sl=2|Tb=9|Tt=1",1,90.21,76,94.7,0.0000,"IV:ElTtZ:SlZ:ClZ:TbZ:RoZ"
"Cl=4|El=1|Sl=2|Tb=9|To=5|Tt=1",1,90.86,75,94.7,0.0000,"IV:ElTtZ:SlZ:ClZ:ToZ:TbZ"
"Cl=3|El=1|Tb=9|Tt=1",1,85.73,64,92.2,0.0000,"IV:ElZ:ClZ:TbZ:TtZ"
"El=1|Sl=3|Tb=11",1,90.16,64,90.6,0.0000,"IV:ElZ:SlZ:TbZ"
"El=1|Rd=2|Sl=2|Tb=9|Tt=1",1,90.07,63,92.1,0.0000,"IV:ElTtZ:SlZ:RdZ:TbZ"
"Cl=1|El=1|Tb=35",1,91.07,62,91.9,0.0000,"IV:ElZ:ClZ:TbZ"
"El=1|Tb=11|Tt=1",1,95.53,57,94.7,0.0000,"IV:ElTtZ:TbZ"
"El=1|Tb=11|To=5|Tt=1",1,94.90,57,94.7,0.0000,"IV:ElZ:ToZ:TbZ:TtZ"
"Cl=3|El=1|Tb=11|Tt=1",1,94.71,57,94.7,0.0000,"IV:ElZ:ClZ:TbZ:TtZ"
"El=1|Tg=22|Tt=1",1,91.51,57,94.7,0.0000,"IV:ElZ:TgZ:TtZ"
"Cl=4|El=1|Rd=2|Sl=2|Tb=9|Tt=1",1,89.86,55,94.5,0.0000,"IV:ElTtZ:SlZ:RdZ:ClZ:TbZ"
"El=5|Tb=6|Tt=9",0,92.71,54,92.6,0.0000,"IV:ElTtZ:TbZ"
"Cl=1|El=1|Tb=35|Tt=10",1,91.43,54,96.3,0.0000,"IV:ElZ:ClZ:TbZ:TtZ"
"El=1|Sl=3|Tb=35",1,89.83,53,90.6,0.0000,"IV:ElZ:SlZ:TbZ"
"El=1|Lc=9|Tb=35|Tt=10",1,92.16,51,92.2,0.0000,"IV:ElZ:LcZ:TbZ:TtZ"
"El=1|Lc=9|Tb=9|Tt=1",1,89.90,50,96.0,0.0000,"IV:ElZ:LcZ:TbZ:TtZ"
"El=2|Tb=11|Tt=1",1,93.14,47,93.6,0.0000,"IV:ElZ:TbZ:TtZ"
"El=2|Tb=11|To=5|Tt=1",1,92.68,47,93.6,0.0000,"IV:ElZ:ToZ:TbZ:TtZ"
"Cl=3|El=2|Tb=11|Tt=1",1,92.83,47,93.6,0.0000,"IV:ElZ:ClZ:TbZ:TtZ"
"El=2|Tg=22|Tt=1",1,89.98,47,93.6,0.0000,"IV:ElZ:TgZ:TtZ"
"El=1|Lc=8|Sl=2|Tb=9|Tt=1",1,89.65,46,93.5,0.0000,"IV:ElTtZ:SlZ:LcZ:TbZ"
"El=2|Sl=2|Tb=35|Tt=9",1,89.30,44,90.9,0.0000,"IV:ElTtZ:SlZ:TbZ"
"El=2|Sl=4|Tb=35",1,85.97,44,90.9,0.0000,"IV:ElZ:SlZ:TbZ"
"El=1|Sl=2|Tb=35|To=2|Tt=10",1,90.74,40,90.0,0.0000,"IV:ElZ:SlZ:ToZ:TbZ:TtZ"
