iv_states,predicted_dv,confidence,frequency,accuracy,p_margin,source_model
"El=5|Tp=15|Tt=3",0,86.68,348,93.1,0.0000,"IV:ElZ:TpZ:TtZ"
"El=5|Ro=1|Tp=15|Tt=3",0,86.64,348,93.1,0.0000,"IV:ElZ:TpZ:RoZ:TtZ"
"El=5|Ro=6|Tt=11",0,93.84,224,93.3,0.0000,"IV:ElZ:RoZ:TtZ"
"Cl=1|El=1|Ro=6",1,91.03,150,90.0,0.0000,"IV:ElZ:ClZ:RoZ"
"El=5|Tp=10|Tt=11",0,91.32,143,93.0,0.0000,"IV:ElZ:TpZ:TtZ"
"El=5|Ro=6|Tt=7",0,85.89,136,91.9,0.0000,"IV:ElZ:RoZ:TtZ"
"El=1|Tp=15|Tt=15",1,91.73,132,96.2,0.0000,"IV:ElZ:TpZ:TtZ"
"El=1|Ro=6|Tt=15",1,92.53,127,96.1,0.0000,"IV:ElZ:RoZ:TtZ"
"Cl=1|El=5|Ro=6|Tt=7",0,85.75,125,91.2,0.0000,"IV:ElZ:ClZ:RoZ:TtZ"
"Cl=1|El=5|Ro=6|Tt=11",0,93.29,113,93.8,0.0000,"IV:ElZ:ClZ:RoZ:TtZ"
"Cl=1|El=5|Ro=4|Tt=11",0,90.59,106,91.5,0.0000,"IV:ElZ:ClZ:RoZ:TtZ"
"El=5|Ro=4|Tt=11",0,91.07,106,91.5,0.0000,"IV:ElZ:RoZ:TtZ"
"El=1|Ro=6|Tp=15|Tt=15",1,91.27,103,96.1,0.0000,"IV:ElZ:TpZ:RoZ:TtZ"
"Cl=1|El=1|Ro=6|Tt=15",1,91.72,99,96.0,0.0000,"IV:ElZ:ClZ:RoZ:TtZ"
"Cl=2|El=5|Ro=6",0,97.20,88,94.3,0.0000,"IV:ElZ:ClZ:RoZ"
"Dc=7|El=5|Fd=1|Ro=6|Tt=11",0,95.98,85,97.6,0.0000,"IV:ElZ:FdZ:DcZ:RoZ:TtZ"
"El=5|Tp=12|Tt=11",0,97.45,82,93.9,0.0000,"IV:ElZ:TpZ:TtZ"
"El=5|Ro=6|Tp=12|Tt=11",0,97.41,82,93.9,0.0000,"IV:ElZ:TpZ:RoZ:TtZ"
"Cl=2|El=5|Ro=6|Tt=11",0,97.32,82,93.9,0.0000,"IV:ElZ:ClZ:RoZ:TtZ"
"El=5|Ro=4|Tp=10|Tt=11",0,89.44,78,93.6,0.0000,"IV:ElZ:TpZ:RoZ:TtZ"
"Cl=3|El=1|Ro=6",1,89.76,75,92.0,0.0000,"IV:ElZ:ClZ:RoZ"
"Dc=7|El=5|Fd=1|Ro=1|Tt=3",0,89.62,74,97.3,0.0000,"IV:ElZ:FdZ:DcZ:RoZ:TtZ"
"El=4|Fd=1|Ro=6|Tp=12|Tt=11",0,91.18,70,90.0,0.0000,"IV:ElZ:FdZ:TpZ:RoZ:TtZ"
"Cl=2|El=4|Fd=1|Ro=6|Tt=11",0,90.91,70,90.0,0.0000,"IV:ElZ:FdZ:ClZ:RoZ:TtZ"
"El=5|Ro=6|Tp=10|Tt=11",0,91.37,65,92.3,0.0000,"IV:ElZ:TpZ:RoZ:TtZ"
"Dc=7|El=5|Fd=6|Ro=6|Tt=11",0,92.32,62,91.9,0.0000,"IV:ElZ:FdZ:DcZ:RoZ:TtZ"
"El=5|Fd=5|Ro=1|Tp=15|Tt=3",0,86.19,61,93.4,0.0000,"IV:ElZ:FdZ:TpZ:RoZ:TtZ"
"El=5|Tp=5|Tt=3",0,85.92,58,93.1,0.0000,"IV:ElZ:TpZ:TtZ"
"El=5|Tp=9|Tt=3",0,93.61,57,91.2,0.0000,"IV:ElZ:TpZ:TtZ"
"El=5|Ro=1|Tp=9|Tt=3",0,93.58,57,91.2,0.0000,"IV:ElZ:TpZ:RoZ:TtZ"
"Dc=7|El=5|Fd=1|Ro=4|Tt=15",0,89.26,56,91.1,0.0000,"IV:ElZ:FdZ:DcZ:RoZ:TtZ"
"Cl=1|El=5|Fd=1|Ro=4|Tt=15",0,88.91,56,91.1,0.0000,"IV:ElZ:FdZ:ClZ:RoZ:TtZ"
"El=1|Ro=4|Tt=15",1,94.88,56,98.2,0.0000,"IV:ElZ:RoZ:TtZ"
"El=5|Tp=15|Tt=7",0,90.77,55,98.2,0.0000,"IV:ElZ:TpZ:TtZ"
"El=5|Ro=6|Tp=15|Tt=7",0,90.62,55,98.2,0.0000,"IV:ElZ:TpZ:RoZ:TtZ"
"Cl=3|El=1|Ro=6|Tt=11",1,87.87,55,90.9,0.0000,"IV:ElZ:ClZ:RoZ:TtZ"
