iv_states,predicted_dv,confidence,frequency,accuracy,p_margin,source_model
"El=1|Sl=2|Tb=1|Tt=1",1,91.11,104,92.3,0.0000,"IV:ElTtZ:SlZ:TbZ"
"El=1|Sl=2|Tg=6|Tt=1",1,90.77,100,93.0,0.0000,"IV:ElTtZ:SlZ:TgZ"
"El=1|Sl=2|Tb=1|Tg=6|Tt=1",1,87.39,100,93.0,0.0000,"IV:ElZ:SlZ:TgZ:TbZ:TtZ"
"Cl=4|El=1|Sl=2|Tb=1|Tt=1",1,90.69,76,94.7,0.0000,"IV:ElTtZ:SlZ:ClZ:TbZ"
"Cl=1|El=1|Tg=14|Tt=10",1,87.84,75,90.7,0.0000,"IV:ElZ:ClZ:TgZ:TtZ"
"Cl=4|El=1|Sl=2|Tg=6|Tt=1",1,90.69,74,94.6,0.0000,"IV:ElTtZ:SlZ:ClZ:TgZ"
"El=1|Tb=4|Tt=1",1,90.54,73,94.5,0.0000,"IV:ElTtZ:TbZ"
"Cl=3|El=1|Tg=6|Tt=1",1,86.05,63,92.1,0.0000,"IV:ElZ:ClZ:TgZ:TtZ"
"Cl=3|El=1|Tg=22|Tt=1",1,91.61,57,94.7,0.0000,"IV:ElZ:ClZ:TgZ:TtZ"
"El=1|Tg=22|Tt=1",1,91.51,57,94.7,0.0000,"IV:ElZ:TgZ:TtZ"
"El=1|Lc=9|Tg=14|Tt=10",1,90.35,54,92.6,0.0000,"IV:ElZ:LcZ:TgZ:TtZ"
"El=5|Tb=2|Tt=9",0,92.72,54,92.6,0.0000,"IV:ElTtZ:TbZ"
"El=1|Sl=3|Tg=14|Tt=10",1,88.49,50,90.0,0.0000,"IV:ElZ:SlZ:TgZ:TtZ"
"El=1|Sl=2|Tg=14|Tt=10",1,86.22,47,91.5,0.0000,"IV:ElZ:SlZ:TgZ:TtZ"
"El=2|Tb=4|Tt=1",1,85.08,47,93.6,0.0000,"IV:ElTtZ:TbZ"
"Cl=3|El=2|Tg=22|Tt=1",1,89.52,47,93.6,0.0000,"IV:ElZ:ClZ:TgZ:TtZ"
"El=2|Tg=22|Tt=1",1,89.98,47,93.6,0.0000,"IV:ElZ:TgZ:TtZ"
"El=2|Sl=2|Tg=14|Tt=9",1,89.01,46,91.3,0.0000,"IV:ElTtZ:SlZ:TgZ"
"El=2|Sl=2|Tb=2|Tt=9",1,90.39,46,91.3,0.0000,"IV:ElTtZ:SlZ:TbZ"
"El=1|Lc=8|Sl=2|Tb=1|Tt=1",1,90.31,46,93.5,0.0000,"IV:ElTtZ:SlZ:LcZ:TbZ"
"El=2|Lc=9|Tg=14|Tt=9",1,86.33,44,90.9,0.0000,"IV:ElZ:LcZ:TgZ:TtZ"
"El=1|Sl=3|Tb=2|Tg=14|Tt=10",1,90.26,44,90.9,0.0000,"IV:ElZ:SlZ:TgZ:TbZ:TtZ"
"El=1|Lc=8|Sl=2|Tg=6|Tt=1",1,86.38,44,95.5,0.0000,"IV:ElZ:SlZ:LcZ:TgZ:TtZ"
"El=1|Lc=9|Tg=6|Tt=1",1,89.81,43,95.3,0.0000,"IV:ElZ:LcZ:TgZ:TtZ"
"El=2|Sl=3|Tg=14|Tt=9",1,91.17,42,90.5,0.0000,"IV:ElTtZ:SlZ:TgZ"
"El=2|Sl=3|Tb=2|Tt=9",1,92.31,42,90.5,0.0000,"IV:ElTtZ:SlZ:TbZ"
"El=1|Sl=2|Tb=2|Tg=14|Tt=10",1,88.40,42,90.5,0.0000,"IV:ElZ:SlZ:TgZ:TbZ:TtZ"
"El=2|Sl=3|Tb=2|Tg=14|Tt=9",1,85.65,42,90.5,0.0010,"IV:ElZ:SlZ:TgZ:TbZ:TtZ"
"El=1|Lc=9|Tg=14|Tt=9",1,89.53,40,92.5,0.0000,"IV:ElZ:LcZ:TgZ:TtZ"
"El=1|Sl=1|Tg=24|Tt=10",0,100.00,37,100.0,0.0000,"IV:ElTtZ:SlZ:TgZ"
"El=1|Lc=8|Sl=1|Tb=1|Tp=2|Tt=1",1,86.93,37,94.6,0.0010,"IV:ElTtZ:SlZ:LcZ:TbZ:TpZ"
"El=1|Sl=1|Tb=2|Tg=24|Tt=10",0,100.00,37,100.0,0.0000,"IV:ElZ:SlZ:TgZ:TbZ:TtZ"
"El=1|Tg=24|Tt=10",0,100.00,37,100.0,0.0000,"IV:ElZ:TgZ:TtZ"
"El=1|Tg=24",0,100.00,37,100.0,0.0000,"IV:ElZ:TgZ"
"El=1|Sl=1|Tg=24",0,100.00,37,100.0,0.0000,"IV:ElZ:SlZ:TgZ"
"El=1|Lc=8|Sl=2|Tb=1|Tp=2|Tt=1",1,90.93,36,91.7,0.0000,"IV:ElTtZ:SlZ:LcZ:TbZ:TpZ"
"El=1|Sl=1|Tb=4|Tt=1",1,87.91,36,91.7,0.0010,"IV:ElTtZ:SlZ:TbZ"
"El=5|Lc=8|Tg=6|Tt=12",0,86.58,34,91.2,0.0000,"IV:ElZ:LcZ:TgZ:TtZ"
"Cl=1|El=3|Sl=3|Tb=2|Tt=10",1,87.24,32,90.6,0.0010,"IV:ElTtZ:SlZ:ClZ:TbZ"
"El=1|Sl=1|Tg=14|Tt=9",1,87.56,31,90.3,0.0020,"IV:ElTtZ:SlZ:TgZ"
"El=1|Sl=1|Tb=2|Tt=9",1,88.24,31,90.3,0.0010,"IV:ElTtZ:SlZ:TbZ"
"El=2|Sl=3|Tb=2|Tt=5",1,88.34,31,93.5,0.0010,"IV:ElTtZ:SlZ:TbZ"
"El=5|Fd=6|Sl=2|Tb=2|Tt=5",0,86.86,31,90.3,0.0000,"IV:ElTtZ:SlZ:FdZ:TbZ"
"El=5|Tb=1|Tt=5",0,93.98,31,93.5,0.0000,"IV:ElTtZ:TbZ"
"El=1|Lc=8|Tg=22|Tt=1",1,91.46,30,100.0,0.0000,"IV:ElZ:LcZ:TgZ:TtZ"
"El=1|Sl=4|Tg=14|Tt=10",1,89.78,30,96.7,0.0010,"IV:ElZ:SlZ:TgZ:TtZ"
"El=2|Tb=1|Tt=8",1,93.52,30,96.7,0.0000,"IV:ElTtZ:TbZ"
"Cl=1|El=1|Sl=3|Tg=14|Tt=10",1,86.13,29,93.1,0.0040,"IV:ElTtZ:SlZ:ClZ:TgZ"
"El=2|Sl=3|Tb=2|Tt=10",1,85.72,29,93.1,0.0040,"IV:ElTtZ:SlZ:TbZ"
"El=1|Sd=2|Sl=2|Tb=1|Tt=1",1,91.22,29,96.6,0.0000,"IV:ElTtZ:SlZ:SdZ:TbZ"
"Cl=4|El=1|Lc=8|Sl=2|Tb=1|Tt=1",1,90.04,29,96.6,0.0010,"IV:ElTtZ:SlZ:ClZ:LcZ:TbZ"
"El=1|Sl=4|Tb=2|Tg=14|Tt=10",1,91.33,29,96.6,0.0000,"IV:ElZ:SlZ:TgZ:TbZ:TtZ"
"Cl=3|El=1|Sl=1|Tg=22|Tt=1",1,91.33,27,92.6,0.0010,"IV:ElTtZ:SlZ:ClZ:TgZ"
"Cl=4|El=1|Sl=2|Tg=14|Tt=9",1,88.87,27,96.3,0.0020,"IV:ElTtZ:SlZ:ClZ:TgZ"
"El=1|Sl=1|Tg=22|Tt=1",1,91.31,27,92.6,0.0010,"IV:ElTtZ:SlZ:TgZ"
"El=1|Sl=3|Tb=1|Tt=1",1,92.90,27,92.6,0.0000,"IV:ElTtZ:SlZ:TbZ"
"El=1|Sl=4|Tb=1|Tt=1",1,93.47,27,100.0,0.0000,"IV:ElTtZ:SlZ:TbZ"
"El=5|Fd=6|Sl=1|Tb=2|Tt=5",0,91.61,27,92.6,0.0000,"IV:ElTtZ:SlZ:FdZ:TbZ"
"Cl=3|El=1|Sl=1|Tb=4|Tt=1",1,88.47,27,92.6,0.0020,"IV:ElTtZ:SlZ:ClZ:TbZ"
"El=1|Sl=1|Tb=4|Tg=22|Tt=1",1,89.59,27,92.6,0.0010,"IV:ElZ:SlZ:TgZ:TbZ:TtZ"
"Cl=3|El=2|Sl=3|Tg=14|Tt=9",1,88.85,26,92.3,0.0020,"IV:ElTtZ:SlZ:ClZ:TgZ"
"Cl=4|El=1|Sl=2|Tb=2|Tt=9",1,90.21,26,96.2,0.0010,"IV:ElTtZ:SlZ:ClZ:TbZ"
"Cl=3|El=2|Sl=3|Tb=2|Tt=9",1,90.80,26,92.3,0.0010,"IV:ElTtZ:SlZ:ClZ:TbZ"
"El=2|Lc=8|Tg=22|Tt=1",1,88.77,26,100.0,0.0020,"IV:ElZ:LcZ:TgZ:TtZ"
"Cl=3|El=2|Sl=3|Tg=6|Tt=1",1,87.09,25,92.0,0.0050,"IV:ElTtZ:SlZ:ClZ:TgZ"
"El=1|Sl=3|Tg=6|Tt=1",1,92.61,25,92.0,0.0010,"IV:ElTtZ:SlZ:TgZ"
"El=1|Fd=4|Sl=2|Tb=1|Tt=1",1,92.83,25,92.0,0.0010,"IV:ElTtZ:SlZ:FdZ:TbZ"
"Cl=3|El=2|Sl=3|Tb=1|Tt=1",1,88.23,25,92.0,0.0040,"IV:ElTtZ:SlZ:ClZ:TbZ"
"El=5|Lc=8|Tg=19|Tt=13",0,85.91,25,96.0,0.0000,"IV:ElZ:LcZ:TgZ:TtZ"
"El=1|Sl=3|Tb=1|Tg=6|Tt=1",1,89.39,25,92.0,0.0020,"IV:ElZ:SlZ:TgZ:TbZ:TtZ"
"El=2|Sl=3|Tb=2|Tg=14|Tt=10",1,87.24,25,92.0,0.0050,"IV:ElZ:SlZ:TgZ:TbZ:TtZ"
"El=2|Sl=3|Tg=14|Tt=10",1,85.86,25,92.0,0.0080,"IV:ElZ:SlZ:TgZ:TtZ"
