elev_bin, 6,1,Elev
LARGE_FIRE, 2,2,Z
:no-frequency
:data
400041516	2016	0.10	A	21	81	81	21	81	81	21	81	81	21	81	81	21	81	81	21	81	82	21	81	81	31	North_Central_California_Footh	B	Summer	low	0
400114248	2017	0.10	A	42	42	42	42	42	42	42	42	42	42	42	42	42	42	42	42	42	42	42	42	42	5	Columbia_Plateau	B	Summer	mid	0
400313515	2018	21.30	C	52	52	52	52	52	52	52	52	52	52	52	52	52	52	52	52	52	52	52	52	52	5	Columbia_Plateau	B	Summer	low	1
400584786	2020	49.00	C	71	71	71	71	71	71	52	52	52	52	52	52	52	52	52	52	52	52	52	52	52	5	Columbia_Plateau	B	Summer	midlow	1
400382454	2018	0.50	B	22	71	71	22	71	71	22	71	71	22	71	71	22	71	71	22	71	71	22	71	71	31	North_Central_California_Footh	B	Spring	low	0
400099885	2016	0.01	A	21	52	52	21	52	52	21	52	52	21	52	52	21	52	52	21	52	52	21	52	52	31	North_Central_California_Footh	B	Spring	low	0
400029774	2016	0.10	A	22	82	82	22	82	82	22	82	82	22	82	82	22	82	82	22	82	82	22	82	82	5	Columbia_Plateau	B	Summer	low	0
400603434	2020	1.00	B	23	23	23	23	23	23	23	23	23	23	23	23	23	23	23	23	23	11	23	23	23	31	North_Central_California_Footh	B	Fall	midlow	0
400148924	2017	40.00	C	52	52	52	52	52	52	52	52	52	52	52	52	52	52	52	52	52	52	52	52	52	31	North_Central_California_Footh	B	Summer	midlow	1
400099900	2016	1.00	B	42	42	42	42	42	42	42	42	42	42	42	42	42	42	42	42	42	42	42	42	42	31	North_Central_California_Footh	B	Summer	low	0
400105113	2016	0.10	A	22	22	71	22	22	71	22	22	71	22	22	71	22	22	71	22	22	71	22	22	71	31	North_Central_California_Footh	B	Summer	low	0
400603448	2020	0.30	B	22	22	22	22	22	22	22	22	22	22	22	22	22	22	22	22	22	22	22	22	22	31	North_Central_California_Footh	B	Summer	low	0
400042214	2016	0.20	A	21	71	71	21	71	71	21	71	71	21	71	71	21	71	71	21	71	71	71	71	71	31	North_Central_California_Footh	B	Summer	low	0
400512708	2019	15.00	C	23	22	22	23	22	22	23	22	22	23	22	22	23	22	22	23	22	22	23	22	22	5	Columbia_Plateau	B	Summer	midlow	1
400011763	2017	87.00	C	52	52	52	52	52	52	52	52	52	52	52	52	52	52	52	52	52	52	52	52	52	31	North_Central_California_Footh	B	Fall	mid	1
400544669	2019	0.25	A	42	42	42	42	42	42	42	42	42	42	42	42	42	42	42	52	42	42	52	52	52	5	Columbia_Plateau	B	Summer	midlow	0
400005511	2016	0.01	A	42	42	42	42	42	42	42	42	42	42	42	42	42	42	42	42	42	42	42	42	42	5	Columbia_Plateau	B	Summer	mid	0
400315029	2018	0.70	B	52	71	71	52	71	71	52	71	71	52	71	71	52	71	71	52	71	71	52	71	71	5	Columbia_Plateau	B	Spring	mid	0
400538732	2019	0.50	B	23	23	23	23	23	23	23	23	23	23	23	23	23	23	23	23	23	23	23	23	23	31	North_Central_California_Footh	B	Summer	low	0
300215418	2015	9.00	B	52	52	52	52	52	52	52	52	52	52	52	52	52	52	52	71	52	52	71	52	52	5	Columbia_Plateau	B	Summer	mid	0
400513361	2019	22672.00	G	22	82	52	22	52	52	22	52	52	22	52	52	22	52	52	22	52	52	22	82	52	5	Columbia_Plateau	B	Summer	midlow	1
400329560	2018	0.01	A	43	42	42	43	42	42	43	42	42	43	42	42	43	42	42	43	42	42	43	42	42	31	North_Central_California_Footh	B	Fall	low	0
300293788	2015	2424.00	F	22	82	52	52	52	52	52	52	52	52	52	52	52	52	52	52	52	52	22	82	82	5	Columbia_Plateau	B	Summer	mid	1
300217319	2015	0.10	A	22	95	95	22	95	95	22	95	95	22	95	95	22	95	95	22	95	95	22	95	95	5	Columbia_Plateau	B	Summer	midlow	0
400631136	2020	1.72	B	71	42	71	71	42	71	71	42	71	71	42	71	71	42	71	71	42	71	71	42	71	5	Columbia_Plateau	B	Summer	midhigh	0
400595930	2020	21.00	C	22	22	22	22	22	22	22	22	22	22	22	22	22	22	22	22	22	22	22	22	22	31	North_Central_California_Footh	B	Summer	midlow	1
400030000	2017	0.10	A	82	81	81	82	81	81	82	82	82	82	82	82	81	81	81	82	82	82	82	82	82	5	Columbia_Plateau	B	Fall	midlow	0
400512663	2019	15.00	C	82	82	82	82	82	82	82	82	82	82	82	82	82	82	82	82	82	82	82	82	82	5	Columbia_Plateau	B	Summer	midlow	1
400603758	2020	0.15	A	52	52	52	52	52	52	52	52	52	52	52	52	52	52	52	52	52	52	52	52	52	5	Columbia_Plateau	B	Spring	midlow	0
400147589	2017	192.00	D	22	52	52	22	52	52	22	52	52	22	52	52	22	52	52	22	52	52	22	52	52	5	Columbia_Plateau	B	Summer	mid	1
400150270	2017	43.00	C	52	52	52	52	52	52	52	52	52	52	52	52	52	52	52	52	52	52	52	52	52	5	Columbia_Plateau	B	Fall	mid	1
400029901	2017	0.10	A	82	82	82	82	82	82	82	82	82	82	82	82	82	82	82	82	82	82	82	82	82	5	Columbia_Plateau	B	Summer	low	0
400307267	2018	44.00	C	71	71	71	71	71	71	71	71	71	71	71	71	71	71	71	71	71	71	71	71	71	31	North_Central_California_Footh	B	Summer	low	1
400008137	2017	0.10	A	42	42	42	42	42	42	42	42	42	42	42	42	42	42	42	42	42	42	42	42	42	5	Columbia_Plateau	B	Fall	mid	0
400630096	2020	2.00	B	22	52	52	22	52	52	22	52	52	22	52	52	22	52	52	22	52	52	22	52	52	5	Columbia_Plateau	B	Summer	midlow	0
400582165	2020	1.00	B	23	22	22	23	22	22	23	22	22	23	22	22	23	22	22	23	22	22	23	22	22	31	North_Central_California_Footh	B	Fall	low	0
400316925	2018	0.11	A	52	52	52	52	52	52	52	52	52	52	52	52	52	52	52	52	52	52	52	52	52	5	Columbia_Plateau	B	Fall	mid	0
400313625	2018	500.00	E	71	71	71	71	71	71	71	71	71	71	71	71	71	71	71	71	71	71	71	71	71	5	Columbia_Plateau	B	Summer	low	1
400029995	2017	11.00	C	52	52	52	52	52	52	52	52	52	52	52	52	52	52	52	52	52	52	52	52	52	5	Columbia_Plateau	B	Summer	low	1
400629624	2020	305651.20	G	52	52	52	52	52	52	52	52	52	52	52	52	52	52	52	52	52	52	52	52	52	31	North_Central_California_Footh	B	Summer	midlow	1
400512724	2019	0.10	A	22	82	82	22	82	82	82	82	82	82	82	82	82	82	82	82	82	82	82	82	82	5	Columbia_Plateau	B	Summer	low	0
400313693	2018	0.10	A	22	82	82	22	82	82	22	82	82	22	82	82	22	82	82	22	82	82	22	82	82	5	Columbia_Plateau	B	Summer	midlow	0
400026404	2016	73.00	C	52	52	52	52	52	52	52	52	52	52	52	52	52	52	52	52	52	52	52	52	52	5	Columbia_Plateau	B	Spring	low	1
400512754	2019	1.00	B	42	42	42	42	42	42	42	42	42	42	42	42	42	42	42	42	42	42	42	42	42	5	Columbia_Plateau	B	Summer	mid	0
400148438	2017	45.00	C	71	71	71	71	71	71	71	71	71	71	71	71	71	71	71	71	71	71	71	71	71	5	Columbia_Plateau	B	Summer	low	1
400016523	2016	1.00	B	52	52	52	52	52	52	52	52	71	52	52	52	52	52	52	52	52	52	52	52	71	31	North_Central_California_Footh	B	Summer	low	0
400512751	2019	150.00	D	22	52	71	22	52	52	22	52	52	22	52	52	22	52	52	22	52	52	22	52	52	5	Columbia_Plateau	B	Summer	low	1
400353134	2018	0.01	A	22	82	71	22	82	71	22	71	71	22	71	71	22	71	71	22	71	71	22	71	71	31	North_Central_California_Footh	B	Winter	low	0
400110826	2017	10.88	C	71	71	71	71	71	71	71	71	71	71	71	71	71	71	71	71	71	71	71	71	71	31	North_Central_California_Footh	B	Summer	midlow	1
400029845	2016	0.10	A	22	71	71	22	71	71	22	71	71	22	71	71	22	71	82	22	71	52	22	82	82	5	Columbia_Plateau	B	Summer	midlow	0
400561091	2019	0.10	A	42	42	42	42	42	42	42	42	42	42	42	42	42	42	42	42	42	42	42	42	42	5	Columbia_Plateau	B	Fall	midlow	0
400102648	2016	3.50	B	71	52	52	71	52	52	71	52	52	71	52	52	71	52	52	71	52	52	71	52	52	31	North_Central_California_Footh	B	Summer	mid	0
400596358	2020	0.10	A	71	82	82	71	82	82	71	82	82	71	82	82	71	82	82	71	71	52	71	71	71	5	Columbia_Plateau	B	Fall	mid	0
400029701	2017	1400.00	F	52	52	52	52	52	52	52	52	52	52	52	52	52	52	52	52	52	52	52	52	52	5	Columbia_Plateau	B	Summer	mid	1
400146022	2017	60.00	C	52	52	52	52	52	52	52	52	52	52	52	52	52	52	52	52	52	52	52	52	52	31	North_Central_California_Footh	B	Summer	mid	1
400630493	2020	30.00	C	71	71	71	71	71	71	71	71	71	71	71	71	71	71	71	71	71	71	71	71	71	5	Columbia_Plateau	B	Fall	low	1
300306560	2015	26.00	C	21	71	71	21	71	71	21	71	71	21	71	71	21	71	71	21	71	71	21	71	71	31	North_Central_California_Footh	B	Summer	low	1
300217386	2015	1.00	B	82	82	82	82	82	82	82	82	82	82	82	82	82	82	82	82	82	82	82	82	82	5	Columbia_Plateau	B	Summer	low	0
300215481	2015	6707.00	G	71	71	71	71	71	71	71	71	71	71	71	71	71	71	71	71	71	71	71	71	71	5	Columbia_Plateau	B	Summer	mid	1
400029967	2017	34.10	C	11	11	11	11	11	11	11	11	11	11	11	11	11	11	11	11	11	11	11	11	11	5	Columbia_Plateau	B	Summer	low	1
400629540	2020	340.00	E	52	52	52	42	52	52	52	52	52	52	52	52	52	52	52	42	52	52	42	52	52	31	North_Central_California_Footh	B	Summer	mid	1
300217328	2015	0.10	A	82	82	82	82	82	82	82	82	82	82	82	82	82	82	82	82	82	82	82	82	82	5	Columbia_Plateau	B	Summer	midlow	0
400612082	2020	1.10	B	22	22	22	22	22	22	22	22	22	22	22	22	22	22	22	22	22	22	22	22	22	31	North_Central_California_Footh	B	Summer	low	0
400312238	2018	155.00	D	71	71	71	71	71	71	71	71	71	71	71	71	71	71	71	71	71	71	71	71	71	5	Columbia_Plateau	B	Summer	midlow	1
400031012	2016	18.00	C	52	52	52	52	52	52	52	52	52	52	52	52	52	52	52	52	52	52	52	52	52	5	Columbia_Plateau	B	Summer	low	1
400629551	2020	727.00	E	22	71	71	22	71	71	22	71	71	22	71	71	22	71	71	22	71	71	22	71	71	31	North_Central_California_Footh	B	Summer	low	1
400312227	2018	5000.00	G	71	71	71	71	71	71	71	71	71	71	71	71	71	71	71	71	71	71	71	71	71	5	Columbia_Plateau	B	Summer	mid	1
400631159	2020	1038.00	F	71	71	71	71	71	71	71	71	71	71	71	71	71	71	71	71	71	71	71	71	71	5	Columbia_Plateau	B	Spring	low	1
400005504	2016	0.01	A	42	42	42	42	42	42	42	42	42	42	42	42	42	42	42	42	42	42	42	42	42	5	Columbia_Plateau	B	Summer	mid	0
400373184	2018	0.20	A	21	71	71	71	71	71	71	71	71	71	71	71	71	71	71	71	71	71	71	71	71	31	North_Central_California_Footh	B	Fall	low	0
