iv_states,predicted_dv,confidence,frequency,accuracy,p_margin,source_model
"Cv=2|Hb=3|Lc=3|Sl=2|Tc=3",0,96.95,18,94.4,0.0000,"IV:CvZ:HbZ:LcZ:SlZ:TcZ"
"Cv=2|Hb=2|Lc=2|Tc=3",0,90.08,18,94.4,0.0010,"IV:CvZ:HbZ:LcZ:TcZ"
"Hb=1|Lc=1|Sl=1|Tc=2|Tw=2",1,98.53,17,100.0,0.0000,"IV:HbZ:LcZ:SlZ:TwZ:TcZ"
"El=1|Hb=1|Lc=1|Sl=2|Tc=1",1,98.93,16,93.8,0.0000,"IV:ElZ:HbZ:LcZ:SlZ:TcZ"
"El=1|Gl=1|Hb=1|Lc=1|Sl=2|Tc=2|Tw=2",1,97.06,16,100.0,0.0000,"IV:ElZ:HbZ:GlZ:LcZ:SlZ:TwZ:TcZ"
"El=1|Gl=1|Hb=2|Lc=1|Sl=2|Tc=2|Tw=2",1,88.51,16,100.0,0.0010,"IV:ElZ:HbZ:GlZ:LcZ:SlZ:TwZ:TcZ"
"Cv=1|Hb=1|Lc=1|Sl=2|Tc=2",1,97.72,16,93.8,0.0000,"IV:CvZ:HbZ:LcZ:SlZ:TcZ"
"Cv=2|Hb=2|Lc=2|Sl=2|Tc=3",0,91.74,16,93.8,0.0010,"IV:CvZ:HbZ:LcZ:SlZ:TcZ"
"Hb=2|Lc=2|Sl=2|Tc=3|Tw=1",0,88.14,15,93.3,0.0040,"IV:HbZ:LcZ:SlZ:TwZ:TcZ"
"Cv=2|El=1|Hb=1|Lc=1|Sl=1|Tc=2",1,98.37,15,100.0,0.0000,"IV:CvZ:ElZ:HbZ:LcZ:SlZ:TcZ"
"El=1|Hb=2|Lc=1|Sl=2|Tc=1",1,95.81,15,100.0,0.0000,"IV:ElZ:HbZ:LcZ:SlZ:TcZ"
"Cv=1|Hb=1|Lc=1|Sl=1|Tc=2",1,98.74,15,100.0,0.0000,"IV:CvZ:HbZ:LcZ:SlZ:TcZ"
