name,level,h,information,aic,bic,daic,dbic,alpha,df,lr,pct_correct_data,pct_correct_test
IV:Z,0,9.726620020413911,0.0,0.0,0.0,0.0,0.0,1.0,725594112.0,0.0,52.12264150943427,-1.0
IV:PZ,1,9.72436402699968,0.0022589310052509057,-4.673952317678387,-16.82315268337426,4.673952317678387,16.82315268337426,0.7269480430754722,725594115.0,1.3260476823216132,52.8301886792453,-1.0
IV:NZ,1,9.717952812185628,0.008678494038295351,-0.905511997146963,-13.054712362842835,0.905511997146963,13.054712362842835,0.1631815150717666,725594115.0,5.094488002853037,52.12264150943417,-1.0
IV:BZ,1,9.716863463745693,0.009769260948769678,-0.26520517492645457,-12.414405540622326,0.26520517492645457,12.414405540622326,0.1235226429680969,725594115.0,5.734794825073545,52.12264150943403,-1.0
IV:BPZ,2,9.702911479451664,0.023739412504952293,-16.064384941950813,-76.81038677043017,16.064384941950813,76.81038677043017,0.5308823007016876,725594127.0,13.935615058049189,54.009433962264154,-1.0
IV:NPZ,2,9.702029223474067,0.024622817292302587,-15.545804751544527,-76.29180658002389,15.545804751544527,76.29180658002389,0.49168007949325,725594127.0,14.454195248455473,54.716981132075496,-1.0
IV:JPZ,2,9.701711831423498,0.02494062262778247,-15.359245256118179,-76.10524708459755,15.359245256118179,76.10524708459755,0.47780631014569575,725594127.0,14.640754743881821,56.36792452830189,-1.0
IV:JKPZ,3,9.666516195694525,0.06018208756122649,-90.67164444494546,-345.8048521245588,90.67164444494546,345.8048521245588,0.9982239534570482,725594175.0,35.32835555505454,58.726415094339636,-1.0
IV:BNPZ,3,9.657413645017028,0.06929649092010172,-85.32126702231214,-340.4544747019255,85.32126702231214,340.4544747019255,0.9870313186075276,725594175.0,40.67873297768786,57.31132075471701,-1.0
IV:BJPZ,3,9.656988188673997,0.06972250126152847,-85.07118854511171,-340.2043962247251,85.07118854511171,340.2043962247251,0.9859895180196905,725594175.0,40.92881145488829,58.72641509433964,-1.0
