name,level,h,information,aic,bic,daic,dbic,alpha,lr,df,pct_correct
IV:ApZ,1,9.639573083622945,0.08716028299944047,49.165215313455896,45.11548185822394,-49.165215313455896,-45.11548185822394,0.0,51.165215313455896,725594113.0,66.98113207547189
IV:SxZ,1,9.723642575180206,0.0029813222469654782,-0.24989101187562612,-4.299624467107584,0.24989101187562612,4.299624467107584,0.18611359807155625,1.7501089881243739,725594113.0,53.53773584905668
IV:EdZ,1,9.700869955849264,0.02578359443133747,11.135599785084139,3.0361328746202236,-11.135599785084139,-3.0361328746202236,0.0005168282764280667,15.135599785084139,725594114.0,56.36792452830197
IV:AgZ,1,9.71435565958423,0.012280330590945972,3.2088540466327213,-4.890612863831194,-3.2088540466327213,4.890612863831194,0.02720302704872148,7.208854046632721,725594114.0,55.89622641509434
IV:AZ,1,9.719692874555836,0.0069361658850571935,0.0716988144827031,-8.027768095981212,-0.0716988144827031,8.027768095981212,0.1305695286850425,4.071698814482703,725594114.0,55.18867924528303
IV:BZ,1,9.716863463745693,0.009769260948769678,-0.26520517492645457,-12.414405540622326,0.26520517492645457,12.414405540622326,0.1235226429680969,5.734794825073545,725594115.0,52.12264150943403
IV:CZ,1,9.699784698644626,0.026870264779204678,11.773501824981492,3.674034914517577,-11.773501824981492,-3.674034914517577,0.0003756882381042437,15.773501824981492,725594114.0,58.01886792452831
IV:DZ,1,9.718774528211743,0.007855708033161685,0.6114925184323114,-7.487974392031604,-0.6114925184323114,7.487974392031604,0.09968438250030826,4.6114925184323114,725594114.0,54.95283018867924
IV:EZ,1,9.718373191715127,0.008257567121058348,0.8473936198322889,-7.2520732906316265,-0.8473936198322889,7.2520732906316265,0.0885934980134978,4.847393619832289,725594114.0,55.4245283018868
IV:FZ,1,9.72315440694438,0.003470126140066357,-1.9629511858917836,-10.0624180963557,1.9629511858917836,10.0624180963557,0.36112742429140826,2.0370488141082164,725594114.0,52.122641509433954
IV:GZ,1,9.724162485627115,0.002460734810375665,-2.5554885543109673,-10.654955464774883,2.5554885543109673,10.654955464774883,0.48565551521320555,1.4445114456890324,725594114.0,52.122641509433954
IV:HZ,1,9.724986079243306,0.001636068770304059,-3.03958766516665,-11.139054575630565,3.03958766516665,11.139054575630565,0.6186558319825621,0.9604123348333504,725594114.0,52.122641509433976
IV:JZ,1,9.711129343333198,0.015510847917028905,3.105246633654774,-9.043953732041098,-3.105246633654774,9.043953732041098,0.027617147097836137,9.105246633654774,725594115.0,54.71698113207547
IV:KZ,1,9.700957638235053,0.025695797871904014,9.084061059960653,-3.0651393057352188,-9.084061059960653,3.0651393057352188,0.0017810524492303248,15.084061059960653,725594115.0,56.60377358490566
IV:LZ,1,9.716347312201293,0.010286084588279095,2.0381829266788714,-6.061283983785044,-2.0381829266788714,6.061283983785044,0.048845576205287226,6.038182926678871,725594114.0,54.716981132075496
IV:MZ,1,9.724840795482715,0.001781541708872925,-2.954191496544699,-11.053658407008614,2.954191496544699,11.053658407008614,0.5927964155108401,1.045808503455301,725594114.0,52.35849056603773
IV:NZ,1,9.717952812185628,0.008678494038295351,-0.905511997146963,-13.054712362842835,0.905511997146963,13.054712362842835,0.1631815150717666,5.094488002853037,725594115.0,52.12264150943417
IV:PZ,1,9.72436402699968,0.0022589310052509057,-4.673952317678387,-16.82315268337426,4.673952317678387,16.82315268337426,0.7269480430754722,1.3260476823216132,725594115.0,52.8301886792453
IV:ApPZ,2,9.636510330715565,0.09022702400154745,38.965467197498235,10.617333010874532,-38.965467197498235,-10.617333010874532,0.0,52.965467197498235,725594119.0,66.98113207547169
IV:SxPZ,2,9.716136740301016,0.010496930680014433,-7.838045266824028,-36.18617945344773,7.838045266824028,36.18617945344773,0.5221103878226367,6.161954733175972,725594119.0,54.481132075471706
IV:EdPZ,2,9.690639146559072,0.03602772553945249,-0.8508450059528379,-45.397913013504365,0.8508450059528379,45.397913013504365,0.03185719776952045,21.149154994047162,725594123.0,57.31132075471699
IV:AgPZ,2,9.687698568471921,0.038972132634138165,0.8775938860024226,-43.66947412154911,-0.8775938860024226,43.66947412154911,0.018413572372524944,22.877593886002423,725594123.0,57.547169811320764
IV:APZ,2,9.708904726871333,0.017738361113121784,-11.587148705488536,-56.13421671304007,11.587148705488536,56.13421671304007,0.4941459932931739,10.412851294511464,725594123.0,55.89622641509433
IV:BPZ,2,9.702911479451664,0.023739412504952293,-16.064384941950813,-76.81038677043017,16.064384941950813,76.81038677043017,0.5308823007016876,13.935615058049189,725594127.0,54.009433962264154
IV:CPZ,2,9.689624106910054,0.03704408689949028,-0.2542160594526983,-44.80128406700423,0.2542160594526983,44.80128406700423,0.02643300153300543,21.7457839405473,725594123.0,58.490566037735846
IV:DPZ,2,9.710515747243061,0.016125242987496482,-12.534088451246209,-57.081156458797736,12.534088451246209,57.081156458797736,0.5799082793305039,9.465911548753791,725594123.0,56.13207547169811
IV:EPZ,2,9.708736599253436,0.017906707654610336,-11.488325173185496,-56.035393180737024,11.488325173185496,56.035393180737024,0.4854480165875845,10.511674826814504,725594123.0,56.36792452830189
IV:FPZ,2,9.706205947887142,0.020440654251591923,-10.000836620306496,-54.547904627858024,10.000836620306496,54.547904627858024,0.36341241406964,11.999163379693504,725594123.0,56.367924528301884
IV:GPZ,2,9.701462613195673,0.025190165369510832,-7.212757570775031,-51.75982557832656,7.212757570775031,51.75982557832656,0.19173067982241676,14.78724242922497,725594123.0,56.13207547169813
IV:HPZ,2,9.712846449292678,0.013791506066691921,-13.904049033392248,-58.45111704094378,13.904049033392248,58.45111704094378,0.7059658917756085,8.095950966607752,725594123.0,54.009433962264154
IV:JPZ,2,9.701711831423498,0.02494062262778247,-15.359245256118179,-76.10524708459755,15.359245256118179,76.10524708459755,0.47780631014569575,14.640754743881821,725594127.0,56.36792452830189
IV:KPZ,2,9.68519410229517,0.041479859945121086,-5.650308922496965,-66.39631075097633,5.650308922496965,66.39631075097633,0.05932365567372566,24.349691077503035,725594127.0,58.25471698113207
IV:LPZ,2,9.706210727048738,0.02043586886691803,-10.003645758009721,-54.550713765561255,10.003645758009721,54.550713765561255,0.36362471241828465,11.996354241990279,725594123.0,55.896226415094354
IV:MPZ,2,9.71637114036962,0.010262225392638954,-15.975823004005653,-60.522891011557185,15.975823004005653,60.522891011557185,0.8722157932647365,6.024176995994347,725594123.0,55.18867924528301
IV:NPZ,2,9.702029223474067,0.024622817292302587,-15.545804751544527,-76.29180658002389,15.545804751544527,76.29180658002389,0.49168007949325,14.454195248455473,725594127.0,54.716981132075496
IV:ApNZ,2,9.629216788389957,0.09753006344904594,43.25252975529559,14.904395568671887,-43.25252975529559,-14.904395568671887,0.0,57.25252975529559,725594119.0,67.21698113207559
IV:SxNZ,2,9.711114947897038,0.015525262097882363,-4.886291890067792,-33.23442607669149,4.886291890067792,33.23442607669149,0.24367352776840423,9.113708109932208,725594119.0,54.24528301886795
IV:EdNZ,2,9.687701971204982,0.038968725470285286,0.8755937975889658,-43.67147420996257,-0.8755937975889658,43.67147420996257,0.018425495572026218,22.875593797588966,725594123.0,56.36792452830191
IV:AgNZ,2,9.690508333508257,0.03615870892553538,-0.773954558597822,-45.32102256614935,0.773954558597822,45.32102256614935,0.031104861327816313,21.226045441402178,725594123.0,57.78301886792453
IV:ANZ,2,9.709715639823823,0.016926392248592156,-12.063794264128443,-56.61086227167998,12.063794264128443,56.61086227167998,0.5368512086196028,9.936205735871557,725594123.0,55.66037735849058
IV:BNZ,2,9.694204341719438,0.03245788804049528,-10.946426823526412,-71.69242865200577,10.946426823526412,71.69242865200577,0.2107347817502786,19.053573176473588,725594127.0,55.42452830188683
IV:CNZ,2,9.683826240429996,0.04284950294081994,3.153704974267786,-41.39336303328375,-3.153704974267786,41.39336303328375,0.008650700123835953,25.153704974267786,725594123.0,58.254716981132084
IV:DNZ,2,9.704080790924873,0.022568578439140976,-8.751693140272627,-53.29876114782416,8.751693140272627,53.29876114782416,0.2767656497280907,13.248306859727373,725594123.0,56.60377358490567
IV:ENZ,2,9.702957290974025,0.023693541330149618,-8.091312442122824,-52.63838044967436,8.091312442122824,52.63838044967436,0.23737231236467982,13.908687557877176,725594123.0,55.4245283018868
IV:FNZ,2,9.712566069681937,0.014072250767429115,-13.739245035894644,-58.28631304344617,13.739245035894644,58.28631304344617,0.6910475903683557,8.260754964105356,725594123.0,54.48113207547169
IV:GNZ,2,9.709363454630987,0.017279036031446447,-11.856783749043183,-56.40385175659471,11.856783749043183,56.40385175659471,0.5181632622570406,10.143216250956817,725594123.0,54.245283018867916
IV:HNZ,2,9.714056041021651,0.01258033929508891,-14.615033515280277,-59.16210152283181,14.615033515280277,59.16210152283181,0.7682911436747261,7.384966484719722,725594123.0,52.59433962264152
IV:JNZ,2,9.677100093570225,0.04958440810125386,-0.8927411730959278,-61.63874300157529,0.8927411730959278,61.63874300157529,0.015594798985124503,29.107258826904072,725594127.0,59.43396226415095
IV:KNZ,2,9.66958555100538,0.057108735558474795,3.524222852137086,-57.22177897634228,-3.524222852137086,57.22177897634228,0.003913186755196252,33.524222852137086,725594127.0,60.141509433962284
IV:LNZ,2,9.70362248270716,0.023027483432578478,-8.482304698775705,-53.02937270632724,8.482304698775705,53.02937270632724,0.26015878586249774,13.517695301224295,725594123.0,56.132075471698116
IV:MNZ,2,9.702285784395526,0.0243659222958175,-7.696608390034241,-52.24367639758577,7.696608390034241,52.24367639758577,0.21593036338620153,14.30339160996576,725594123.0,53.77358490566038
IV:NPZ,2,9.702029223474067,0.024622817292302587,-15.545804751544527,-76.29180658002389,15.545804751544527,76.29180658002389,0.49168007949325,14.454195248455473,725594127.0,54.716981132075496
IV:ApBZ,2,9.626928813324145,0.09982101775006548,44.59737589451367,16.249241707889965,-44.59737589451367,-16.249241707889965,0.0,58.59737589451367,725594119.0,67.45283018867924
IV:SxBZ,2,9.712186753809458,0.014452060557529369,-5.516287410931875,-33.86442159755558,5.516287410931875,33.86442159755558,0.29116312487304685,8.483712589068125,725594119.0,54.481132075471706
IV:EdBZ,2,9.68167903699593,0.04499950230748236,4.4158071237041625,-40.13126088384737,-4.4158071237041625,40.13126088384737,0.005600840325403089,26.415807123704163,725594123.0,56.60377358490567
IV:AgBZ,2,9.689106330425409,0.0375625375951254,0.050127163844919664,-44.49694084370661,-0.050127163844919664,44.49694084370661,0.024007063122720718,22.05012716384492,725594123.0,57.31132075471699
IV:ABZ,2,9.694248607125026,0.03241356499570613,-2.9724455335620306,-47.51951354111356,2.9724455335620306,47.51951354111356,0.060449430601512644,19.02755446643797,725594123.0,56.132075471698116
IV:BCZ,2,9.673165084265541,0.05352454128968837,9.42021325995977,-35.126854747591764,-9.42021325995977,35.126854747591764,0.0008973833960854716,31.42021325995977,725594123.0,61.08490566037737
IV:BDZ,2,9.698048068556899,0.028609156180692156,-5.205726443880426,-49.75279445143195,5.205726443880426,49.75279445143195,0.11364112061549081,16.794273556119574,725594123.0,57.07547169811321
IV:BEZ,2,9.701948310763512,0.02470383536152128,-7.498245165765287,-52.04531317331681,7.498245165765287,52.04531317331681,0.2057355892127195,14.501754834234713,725594123.0,55.89622641509434
IV:BFZ,2,9.690259031596728,0.03640833545993412,-0.6274176849102382,-45.17448569246177,0.6274176849102382,45.17448569246177,0.02971611309846356,21.372582315089762,725594123.0,57.54716981132076
